Sample_Number,Firmicutes,Actinobacteria,Bacteroidetes,Chlamydiae,Proteobacteria,k_Bacteria,Cyanobacteria,Chloroflexi,Gemmatimonadetes,Aquificae,Acidobacteria,Thermotogae,Deinococcus,Synergistetes,Planctomycetes,Fibrobacteres,Tenericutes,Spirochaetes,Verrucomicrobia,Nitrospirae,Fusobacteria,Thermodesulfobacteria,Armatimonadetes,Ignavibacteriae,Chlorobi,Caldiserica,Lentisphaerae,Candidatus_Cloacimonetes,Chrysiogenetes,Deferribacteres,Elusimicrobia,Rhodothermaeota,Nitrospinae,Dictyoglomi,Primary_Site
s16244,452069,247519,88075,24577,211725,1,2206,52,1,4,21,190,101,0,3452,1,4987,2611,136,10,302354,71,2,0,3,0,0,0,0,1,3,0,0,0,Floor_of_mouth
s16276,174380,60054,8199,1458,271416,0,538,14,0,0,9,26,204,2,1827,0,1534,914,82,325,36,20,0,0,0,0,0,0,0,1,0,0,5,0,Floor_of_mouth
s16281,117829,147074,7416,869,385909,0,974,30,3,5,18,20,1059,1,4476,0,1169,1142,901,5,27,17,1,0,1,0,0,0,2,1,1,0,8,1,Floor_of_mouth
s16291,30494,29735,8783,1929,76334,0,455,8,0,0,10,13,64,3,1178,1,1082,812,23,50,36,6,0,0,0,0,0,0,0,0,0,0,8,0,Floor_of_mouth
s16297,67608,45635,8709,1330,189648,0,551,19,0,6,5,14,355,0,1902,0,1120,737,135,2,58,7,0,0,0,0,0,0,0,0,0,0,5,0,Floor_of_mouth
s16298,71968,42008,7579,1074,134138,0,267,6,0,3,2,15,121,0,1152,0,959,666,95,1,114,5,0,0,0,0,0,0,0,0,0,0,1,0,Floor_of_mouth
s16299,136588,57459,10410,1800,220194,0,638,8,2,4,5,28,40,2,1450,0,1624,1097,9,30,34,13,0,0,0,0,0,0,0,0,0,0,8,0,Floor_of_mouth
s16318,47148,19810,6012,840,78151,0,358,2,0,2,1,12,11,0,814,0,767,427,1,31,19,7,0,0,0,0,0,0,0,0,0,0,8,1,Floor_of_mouth
s16319,15180,20229,7601,2342,85828,0,271,5,0,0,6,9,86,0,907,0,1101,612,26,16,32,10,0,0,0,0,0,0,0,0,0,0,6,0,Floor_of_mouth
s16343,52240,38950,11518,1900,153109,0,897,12,0,4,5,24,38,0,1946,1,1399,921,7,57,32,12,0,0,1,1,0,0,0,1,0,0,8,0,Floor_of_mouth
s16370,173312,99813,8070,10858,101520,0,2209,47,3,13,25,198,67,3,3430,0,4512,2496,44,2,58,43,1,0,6,0,0,0,0,0,1,0,0,0,Floor_of_mouth
s16378,35248,27125,12482,1408,58294,0,759,8,0,1,7,35,76,1,1370,1,1681,2521,7,45,38,24,0,0,1,0,0,0,0,0,0,0,5,0,Floor_of_mouth
s16382,26334,13628,5389,625,80884,0,215,6,1,0,0,7,28,0,759,1,746,546,5,10,79,9,0,0,0,0,0,0,0,0,0,0,8,0,Floor_of_mouth
s16383,2055535,62843,6466,933,216648,0,286,27,0,2,2,18,298,14,1784,0,1606,8733,187,76,6241,21,1,0,1,0,0,1,24,3,0,0,0,1,Floor_of_mouth
s16386,1855279,945724,111871,164712,3826519,4,32459,597,8,119,880,960,1429,7,35436,0,32091,16407,1069,15,732,535,0,0,40,0,0,0,7,47,2,0,4,0,Floor_of_mouth
s15583,49284,36181,9082,1296,107411,0,462,6,0,1,12,17,169,0,1498,0,1161,756,52,68,42,13,0,0,0,0,0,0,0,0,0,0,6,0,Floor_of_mouth
s15500,59162,61564,14070,1654,314307,0,372,12,2,2,4,13,141,2,1361,0,1023,758,83,43,82,13,0,0,0,0,0,0,0,0,0,0,5,0,Gum
s15577,21496,13451,5960,717,41159,0,363,5,1,1,1,17,14,2,768,1,633,1298,1,51,5,5,1,0,0,0,0,0,0,0,0,0,6,0,Gum
s15596,44685,40490,11007,2019,116854,0,579,10,1,1,1,14,101,2,1550,2,1178,792,24,126,257,9,0,0,1,0,0,0,0,1,0,0,9,0,Gum
s15626,912660,539896,258982,24637,173191,1,2069,54,1,8,25,116,114,3,3619,4,4765,2796,98,0,125,75,1,0,4,0,0,0,0,3,1,1,0,0,Gum
s15627,5580938,2624327,165372,470016,3159067,0,43729,701,10,113,1006,860,1119,8,32837,0,30722,158464,2678,7,733,520,1,0,42,0,0,0,17,25,4,0,1,0,Gum
s15629,4322803,2406755,152551,321235,2011609,0,29797,1497,47,50,1237,335,622,8,16971,1,13795,10136,2939,64,1024,278,8,0,59,2,0,1,20,92,11,0,3,2,Gum
s15672,161189,74789,8403,1772,2939851,0,452,25,1,0,11,21,944,0,2985,0,1493,814,359,3,26,9,0,0,0,0,0,0,0,0,0,0,0,0,Gum
s15708,22724,20580,7845,1237,64714,0,544,3,1,0,7,9,43,0,843,0,946,607,11,2,21,10,0,0,1,0,0,0,0,0,0,0,11,0,Gum
s15733,325359,211207,9235,21821,114227,1,1776,41,4,5,24,114,48,0,3152,0,4619,2255,152,1,72,56,0,0,0,0,0,0,1,1,0,0,0,0,Gum
s15745,27869,36319,14842,2001,84462,0,474,6,2,0,20,30,98,3,1315,1,1593,1218,18,0,49,11,0,0,0,0,0,0,0,0,0,0,9,0,Gum
s15760,60399,52398,8661,1251,159222,0,488,11,0,1,8,23,163,0,1952,0,1490,796,69,292,7,13,0,0,0,0,0,0,0,0,0,0,4,0,Gum
s15889,39146,23450,8978,2705,207736,0,382,8,1,2,4,24,125,1,1455,0,1480,893,37,96,25,16,0,0,0,0,0,0,0,0,0,0,8,0,Gum
s15974,50039,42976,18142,2758,101937,1,790,16,2,1,42,23,80,1,1970,2,1957,936,12,12,34,37,0,0,2,0,0,0,0,0,0,0,2,0,Gum
s16013,50412,25602,8055,1449,101474,0,880,8,2,1,5,23,94,1,1496,0,1382,839,5,3,83,11,0,0,0,0,0,0,0,2,0,0,5,0,Gum
s16131,61843,23025,14337,2599,60389,0,1282,23,3,2,21,31,102,1,1994,0,2002,1250,7,5,35,22,0,0,0,0,0,0,0,0,0,0,6,0,Gum
s16165,26624,20434,10529,1304,45576,1,638,6,10,0,17,20,69,2,1376,0,1739,933,14,283,30,21,3,0,0,0,1,0,0,0,0,0,2,0,Gum
s16266,45678,28170,8203,1386,107523,0,341,7,1,1,7,19,47,5,1957,3,1419,872,4,1,150,14,0,0,0,0,0,1,0,0,0,0,12,0,Gum
