"Sample_Number","Euryarchaeota","Crenarchaeota","Thaumarchaeota","Candidatus_Korarchaeota","Primary_Site"
"s16027",2113,5923,12,0,"Floor_of_mouth"
"s16028",26593,64377,726,0,"Floor_of_mouth"
"s16029",2274,2463,21,0,"Larynx"
"s16032",1502,2335,10,0,"Larynx"
"s16035",3259,3655,6,0,"Floor_of_mouth"
"s16039",17724,92539,442,1,"Base_of_tongue"
"s16043",12222,39409,155,0,"Larynx"
"s16044",4558,5780,31,0,"Larynx"
"s16049",2266,3851,9,0,"Larynx"
"s16055",2152,3408,8,0,"Floor_of_mouth"
"s16060",14309,26420,217,0,"Larynx"
"s16063",506,82,85,0,"Floor_of_mouth"
"s16067",316,59,32,0,"Floor_of_mouth"
"s16068",437,142,312,0,"Larynx"
"s16075",979,129,50,0,"Larynx"
"s16077",370,54,40,0,"Floor_of_mouth"
"s16080",291,58,139,0,"Base_of_tongue"
"s16081",401,50,41,0,"Floor_of_mouth"
"s16082",233,32,54,0,"Base_of_tongue"
"s16084",273,44,46,0,"Larynx"
"s16089",788,51,44,0,"Larynx"
"s16091",524,100,44,0,"Floor_of_mouth"
"s16093",598,177,45,0,"Larynx"
"s16098",433,110,41,0,"Larynx"
"s16100",629,92,91,0,"Larynx"
"s16101",317,71,152,0,"Base_of_tongue"
"s16105",216,80,31,0,"Floor_of_mouth"
"s16106",511,111,47,0,"Larynx"
"s16107",359,76,93,0,"Larynx"
"s16108",531,169,69,0,"Larynx"
"s16111",182,31,28,0,"Floor_of_mouth"
"s16112",368,101,52,0,"Larynx"
"s16113",495,245,128,0,"Larynx"
"s16122",191,37,31,0,"Larynx"
"s16123",448,131,36,0,"Larynx"
"s16124",679,218,85,0,"Floor_of_mouth"
"s16129",377,49,72,0,"Floor_of_mouth"
"s16131",455,35,126,0,"Gum"
"s16135",461,123,43,0,"Larynx"
"s16143",374,26,14,0,"Larynx"
"s16149",376,83,46,0,"Floor_of_mouth"
"s16151",260,66,24,0,"Larynx"
"s16152",228,19,5,0,"Base_of_tongue"
"s16155",395,96,58,0,"Floor_of_mouth"
"s16156",388,70,10,0,"Larynx"
"s16157",160,73,36,0,"Floor_of_mouth"
"s16158",311,23,14,0,"Larynx"
"s16160",376,95,20,0,"Larynx"
"s16163",19617,48778,544,0,"Base_of_tongue"
"s16165",17150,49736,414,0,"Gum"
"s16171",14906,47451,318,0,"Larynx"
"s16176",1731,3076,7,0,"Larynx"
"s16177",22877,69274,386,0,"Larynx"
"s16182",2530,3954,4,0,"Larynx"
"s16183",3677,6342,34,0,"Larynx"
"s16184",2191,3575,6,0,"Larynx"
"s16185",2037,4475,12,0,"Floor_of_mouth"
"s16192",34621,72837,331,1,"Larynx"
"s16194",2120,3866,6,0,"Base_of_tongue"
"s16196",24904,87512,293,0,"Larynx"
"s16211",444,69,72,0,"Floor_of_mouth"
"s16215",496,113,115,1,"Larynx"
"s16217",659,237,541,0,"Larynx"
"s16218",681,308,188,0,"Larynx"
"s16219",613,410,93,0,"Larynx"
"s16221",525,191,52,0,"Larynx"
"s16222",440,77,15,0,"Larynx"
"s16223",301,69,21,0,"Larynx"
"s16233",375,113,48,0,"Larynx"
"s16234",532,140,73,0,"Floor_of_mouth"
"s16237",616,342,46,0,"Larynx"
"s16238",192,80,36,0,"Larynx"
"s16240",763,208,34,0,"Larynx"
"s16241",359,86,35,0,"Base_of_tongue"
"s16242",879,94,122,0,"Larynx"
"s16244",242,56,47,0,"Floor_of_mouth"
"s16249",375,198,60,0,"Larynx"
"s16250",388,84,90,0,"Larynx"
"s16252",860,183,86,0,"Base_of_tongue"
"s16254",355,117,87,0,"Larynx"
"s16260",345,66,59,0,"Larynx"
"s16263",361,44,22,0,"Larynx"
"s16266",551,70,28,0,"Gum"
"s16271",381,45,17,1,"Larynx"
"s16275",558,69,51,0,"Gum"
"s16276",383,144,24,0,"Floor_of_mouth"
"s16277",646,112,64,0,"Larynx"
"s16281",362,42,51,0,"Floor_of_mouth"
"s16282",406,75,142,0,"Larynx"
"s16283",383,54,70,0,"Larynx"
"s16284",258,96,23,0,"Larynx"
"s16288",435,49,24,0,"Larynx"
"s16291",885,95,10,0,"Floor_of_mouth"
"s16293",994,122,74,0,"Larynx"
"s16296",522,139,74,0,"Larynx"
"s16297",592,161,68,0,"Floor_of_mouth"
"s16298",367,140,198,0,"Floor_of_mouth"
"s16299",326,117,70,0,"Floor_of_mouth"
"s16300",254,62,31,0,"Gum"
"s16305",287,52,71,0,"Base_of_tongue"
